id;user_id;location;major;photo;description;is_available
1;3;TF 3.1;Teknik Industri 2020;-;-;1
2;4;TF 4.2;Teknik Industri 2020;-;-;1
3;5;TF 3.3;Teknik Elektro 2020;-;Saya adalah seorang mahasiswa Teknik Elektro peminatan Intelligent Robotics atau Robot Cerdas. Saya antusias dalam mempelajari hal-hal baru dalam pengembangan sistem guna menciptakan solusi yang inovatif dan relevan dengan perkembangan teknologi terkini. Selain itu, saya juga senang mengasah kemampuan Electrical dan Programming dengan mengimplementasikan dalam pembuatan dan troubeshooting robot atau sistem IoT. Visi saya ke depan adalah dapat membuat robot yang dapat bermanfaat bagi masyarakat luas. ;1
4;6;TF 2.2;Teknik Informatika 2020;-;Saya adalah seorang mahasiswa Teknik Informatika yang fokus pada Data Science dan Artificial Intelligence. Saya antusias dalam mempelajari hal-hal baru dalam pengembangan sistem guna menciptakan solusi yang inovatif dan relevan dengan perkembangan teknologi terkini. Selain itu, saya juga senang mengasah kemampuan soft skill melalui aktif berpartisipasi dalam berbagai kegiatan yang menuntut adaptasi dan kerjasama dalam tim. Visi saya ke depan adalah menjadi seorang profesional dalam dunia Data Science dan Artificial Intelligence. ;1
5;7;TF 3.2;Teknik Informatika 2020;-;-;1
6;8;TF 4.3;Teknik Informatika 2020;-;Mahasiswa Teknik Informatika UBAYA yang mengambil fokus pada Data Science & Artificial Intelligence. Saya memiliki antusias untuk mengeksplorasi dan mencari passion dalam memanfaatkan teknologi informasi terkini. Selain itu, saya juga suka mencoba hal-hal baru untuk melatih softskill yang diperlukan untuk kehidupan dan dunia kerja nantinya. Visi saya dimasa muda ini adalah menantang diri saya untuk memperkaya pengalaman dan terus mencoba hal-hal baru.;1
7;9;TB 01.01 A;Teknik Informatika 2020;-;Saya adalah seorang mahasiswa Teknik Informatika dengan fokus Data Science & Artificial Intelligence. Meskipun fokus saya terletak pada Data Science, saya memiliki passion dalam pengembangan aplikasi dan program untuk menyelesaikan berbagai macam masalah. Saya suka mempelajari hal baru terutama pada fokus Data Science dan Application Development baik website maupun mobile.;1
8;10;TF 2.3;Sistem Informasi Bisnis 2020;-;Seorang mahasiswa yang suka belajar hal baru dan terus mengembangkan kompetensi diri.;1
9;11;TB 01.01 B;Sistem Informasi Bisnis 2020;-;Saya merupakan seorang mahasiswa yang mempunyai ambisi untuk terus mengembangkan kemampuan di bidang Web Development dan Database Management. Fokus saya terletak pada pembuatan program untuk berbagai keperluan bisnis. Selain itu, saya juga suka terlibat dalam berbagai kegiatan yang memerlukan banyak interaksi dengan orang-orang, sehingga mampu menambah networking dan mengasah kemampuan lain diluar hardskill yang tentunya berguna di dunia kerja.;1
10;12;TF 2.1;Multimedia 2020;-;-;1
11;13;TF 4.1 B;Multimedia 2020;-;Sebagai seorang mahasiswa multimedia yang sangat kreatif dan antusias, saya senang mengembangkan potensi saya melalui berbagai kompetisi, proyek, dan kegiatan magang. Saya menikmati berinteraksi dengan orang baru untuk terus menambah wawasan dan menjalin relasi yang bermanfaat. Tujuan saya adalah mengembangkan portofolio yang kuat dan menarik, yang memperlihatkan keahlian saya di bidang desain grafis dan UI/UX.;1
12;14;TF 2.5;Teknik Kimia 2020;-;Saya mahasiswi Teknik Kimia angkatan 2020 dan saya merupakan seorang yang adaptif dan mau berkembang untuk mendapatkan pengalaman baru. Selain itu, saya merupakan seorang yang ulet dan senang mencari pengalaman baru;1
13;15;TF 4.1 A;Teknik Mesin Manufaktur 2019;-;-;1
